# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-08-03 21:09:21 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06620000 NORTH PLATTE RIVER NEAR NORTHGATE, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06620000
#            TS   parameter     statistic     Description
#        161463       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	161463_00060_00003	161463_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06620000	1915-06-01	785	A
USGS	06620000	1915-06-02	985	A
USGS	06620000	1915-06-03	785	A
USGS	06620000	1915-06-04	1020	A
USGS	06620000	1915-06-05	945	A
USGS	06620000	1915-06-06	945	A
USGS	06620000	1915-06-07	905	A
USGS	06620000	1915-06-08	865	A
USGS	06620000	1915-06-09	710	A
USGS	06620000	1915-06-10	748	A
USGS	06620000	1915-06-11	905	A
USGS	06620000	1915-06-12	945	A
USGS	06620000	1915-06-13	1020	A
USGS	06620000	1915-06-14	945	A
USGS	06620000	1915-06-15	785	A
USGS	06620000	1915-06-16	672	A
USGS	06620000	1915-06-17	635	A
USGS	06620000	1915-06-18	710	A
USGS	06620000	1915-06-19	985	A
USGS	06620000	1915-06-20	1260	A
USGS	06620000	1915-06-21	1180	A
USGS	06620000	1915-06-22	1060	A
USGS	06620000	1915-06-23	1020	A
USGS	06620000	1915-06-24	1060	A
USGS	06620000	1915-06-25	1020	A
USGS	06620000	1915-06-26	1020	A
USGS	06620000	1915-06-27	945	A
USGS	06620000	1915-06-28	865	A
USGS	06620000	1915-06-29	785	A
USGS	06620000	1915-06-30	710	A
USGS	06620000	1915-07-01	710	A
USGS	06620000	1915-07-02	635	A
USGS	06620000	1915-07-03	635	A
USGS	06620000	1915-07-04	710	A
USGS	06620000	1915-07-05	672	A
USGS	06620000	1915-07-06	598	A
USGS	06620000	1915-07-07	560	A
USGS	06620000	1915-07-08	522	A
USGS	06620000	1915-07-09	485	A
USGS	06620000	1915-07-10	522	A
USGS	06620000	1915-07-11	382	A
USGS	06620000	1915-07-12	320	A
USGS	06620000	1915-07-13	350	A
USGS	06620000	1915-07-14	320	A
USGS	06620000	1915-07-15	320	A
USGS	06620000	1915-07-16	350	A
USGS	06620000	1915-07-17	290	A
USGS	06620000	1915-07-18	290	A
USGS	06620000	1915-07-19	235	A
USGS	06620000	1915-07-20	235	A
USGS	06620000	1915-07-21	187	A
USGS	06620000	1915-07-22	187	A
USGS	06620000	1915-07-23	148	A
USGS	06620000	1915-07-24	187	A
USGS	06620000	1915-07-25	187	A
USGS	06620000	1915-07-26	211	A
USGS	06620000	1915-07-27	235	A
USGS	06620000	1915-07-28	235	A
USGS	06620000	1915-07-29	235	A
USGS	06620000	1915-07-30	235	A
USGS	06620000	1915-07-31	211	A
USGS	06620000	1915-08-01	187	A
USGS	06620000	1915-08-02	187	A
USGS	06620000	1915-08-03	187	A
USGS	06620000	1915-08-04	187	A
USGS	06620000	1915-08-05	187	A
USGS	06620000	1915-08-06	148	A
USGS	06620000	1915-08-07	187	A
USGS	06620000	1915-08-08	187	A
USGS	06620000	1915-08-09	290	A
USGS	06620000	1915-08-10	290	A
USGS	06620000	1915-08-11	235	A
USGS	06620000	1915-08-12	187	A
USGS	06620000	1915-08-13	187	A
USGS	06620000	1915-08-14	187	A
USGS	06620000	1915-08-15	187	A
USGS	06620000	1915-08-16	187	A
USGS	06620000	1915-08-17	192	A
USGS	06620000	1915-08-18	171	A
USGS	06620000	1915-08-19	156	A
USGS	06620000	1915-08-20	197	A
USGS	06620000	1915-08-21	179	A
USGS	06620000	1915-08-22	148	A
USGS	06620000	1915-08-23	168	A
USGS	06620000	1915-08-24	164	A
USGS	06620000	1915-08-25	225	A
USGS	06620000	1915-08-26	197	A
USGS	06620000	1915-08-27	164	A
USGS	06620000	1915-08-28	148	A
USGS	06620000	1915-08-29	123	A
USGS	06620000	1915-08-30	117	A
USGS	06620000	1915-08-31	112	A
USGS	06620000	1915-09-01	115	A
USGS	06620000	1915-09-02	107	A
USGS	06620000	1915-09-03	117	A
USGS	06620000	1915-09-04	117	A
USGS	06620000	1915-09-05	156	A
USGS	06620000	1915-09-06	153	A
USGS	06620000	1915-09-07	139	A
USGS	06620000	1915-09-08	157	A
USGS	06620000	1915-09-09	201	A
USGS	06620000	1915-09-10	168	A
USGS	06620000	1915-09-11	139	A
USGS	06620000	1915-09-12	129	A
USGS	06620000	1915-09-13	183	A
USGS	06620000	1915-09-14	187	A
USGS	06620000	1915-09-15	201	A
USGS	06620000	1915-09-16	187	A
USGS	06620000	1915-09-17	171	A
USGS	06620000	1915-09-18	160	A
USGS	06620000	1915-09-19	164	A
USGS	06620000	1915-09-20	136	A
USGS	06620000	1915-09-21	136	A
USGS	06620000	1915-09-22	142	A
USGS	06620000	1915-09-23	129	A
USGS	06620000	1915-09-24	120	A
USGS	06620000	1915-09-25	123	A
USGS	06620000	1915-09-26	183	A
USGS	06620000	1915-09-27	274	A
USGS	06620000	1915-09-28	284	A
USGS	06620000	1915-09-29	268	A
USGS	06620000	1915-09-30	230	A
USGS	06620000	1915-10-01	179	A
USGS	06620000	1915-10-02	164	A
USGS	06620000	1915-10-03	164	A
USGS	06620000	1915-10-04	164	A
USGS	06620000	1915-10-05	206	A
USGS	06620000	1915-10-06	216	A
USGS	06620000	1915-10-07	206	A
USGS	06620000	1915-10-08	179	A
USGS	06620000	1915-10-09	175	A
USGS	06620000	1915-10-10	179	A
USGS	06620000	1915-10-11	175	A
USGS	06620000	1915-10-12	206	A
USGS	06620000	1915-10-13	221	A
USGS	06620000	1915-10-14	206	A
USGS	06620000	1915-10-15	221	A
USGS	06620000	1915-10-16	257	A
USGS	06620000	1915-10-17	326	A
USGS	06620000	1915-10-18	320	A
USGS	06620000	1915-10-19	262	A
USGS	06620000	1915-10-20	246	A
USGS	06620000	1915-10-21	225	A
USGS	06620000	1915-10-22	211	A
USGS	06620000	1915-10-23	201	A
USGS	06620000	1915-10-24	197	A
