# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-08-03 21:24:54 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06764000 SOUTH PLATTE RIVER AT JULESBURG, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06764000
#            TS   parameter     statistic     Description
#        225468       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	225468_00060_00003	225468_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06764000	1902-10-01	662	A
USGS	06764000	1902-10-02	573	A
USGS	06764000	1902-10-03	407	A
USGS	06764000	1902-10-04	258	A
USGS	06764000	1902-10-05	225	A
USGS	06764000	1902-10-06	195	A
USGS	06764000	1902-10-07	195	A
USGS	06764000	1902-10-08	195	A
USGS	06764000	1902-10-09	168	A
USGS	06764000	1902-10-10	123	A
USGS	06764000	1902-10-11	105	A
USGS	06764000	1902-10-12	89.0	A
USGS	06764000	1902-10-13	75.0	A
USGS	06764000	1902-10-14	75.0	A
USGS	06764000	1902-10-15	63.0	A
USGS	06764000	1902-10-16	52.0	A
USGS	06764000	1902-10-17	43.0	A
USGS	06764000	1902-10-18	35.0	A
USGS	06764000	1902-10-19	35.0	A
USGS	06764000	1902-10-20	35.0	A
USGS	06764000	1902-10-21	35.0	A
USGS	06764000	1902-10-22	43.0	A
USGS	06764000	1902-10-23	43.0	A
USGS	06764000	1902-10-24	43.0	A
USGS	06764000	1902-10-25	35.0	A
USGS	06764000	1902-10-26	35.0	A
USGS	06764000	1902-10-27	35.0	A
USGS	06764000	1902-10-28	35.0	A
USGS	06764000	1902-10-29	35.0	A
USGS	06764000	1902-10-30	28.0	A
USGS	06764000	1902-10-31	28.0	A
USGS	06764000	1902-11-01	28.0	A
USGS	06764000	1902-11-02	28.0	A
USGS	06764000	1902-11-03	28.0	A
USGS	06764000	1902-11-04	28.0	A
USGS	06764000	1902-11-05	28.0	A
USGS	06764000	1902-11-06	28.0	A
USGS	06764000	1902-11-07	28.0	A
USGS	06764000	1902-11-08	28.0	A
USGS	06764000	1902-11-09	28.0	A
USGS	06764000	1902-11-10	28.0	A
USGS	06764000	1902-11-11	28.0	A
USGS	06764000	1902-11-12	28.0	A
USGS	06764000	1902-11-13	28.0	A
USGS	06764000	1902-11-14	35.0	A
USGS	06764000	1902-11-15	35.0	A
