# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-08-03 21:06:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09306395 WHITE RIVER NEAR COLORADO STATE LINE, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 09306395
#            TS   parameter     statistic     Description
#        142976       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	142976_00060_00003	142976_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09306395	1976-10-01	400	A
USGS	09306395	1976-10-02	415	A
USGS	09306395	1976-10-03	435	A
USGS	09306395	1976-10-04	460	A
USGS	09306395	1976-10-05	450	A
USGS	09306395	1976-10-06	445	A
USGS	09306395	1976-10-07	418	A
USGS	09306395	1976-10-08	417	A
USGS	09306395	1976-10-09	410	A
USGS	09306395	1976-10-10	410	A
USGS	09306395	1976-10-11	408	A
USGS	09306395	1976-10-12	406	A
USGS	09306395	1976-10-13	413	A
USGS	09306395	1976-10-14	393	A
USGS	09306395	1976-10-15	395	A
USGS	09306395	1976-10-16	396	A
USGS	09306395	1976-10-17	379	A
USGS	09306395	1976-10-18	381	A
USGS	09306395	1976-10-19	376	A
USGS	09306395	1976-10-20	381	A
USGS	09306395	1976-10-21	367	A
USGS	09306395	1976-10-22	389	A
USGS	09306395	1976-10-23	391	A
USGS	09306395	1976-10-24	387	A
USGS	09306395	1976-10-25	384	A
USGS	09306395	1976-10-26	376	A
USGS	09306395	1976-10-27	378	A
USGS	09306395	1976-10-28	376	A
USGS	09306395	1976-10-29	369	A
USGS	09306395	1976-10-30	368	A
USGS	09306395	1976-10-31	374	A
USGS	09306395	1976-11-01	379	A
USGS	09306395	1976-11-02	374	A
USGS	09306395	1976-11-03	374	A
USGS	09306395	1976-11-04	382	A
USGS	09306395	1976-11-05	385	A
USGS	09306395	1976-11-06	376	A
USGS	09306395	1976-11-07	376	A
USGS	09306395	1976-11-08	374	A
USGS	09306395	1976-11-09	374	A
USGS	09306395	1976-11-10	359	A
USGS	09306395	1976-11-11	372	A
USGS	09306395	1976-11-12	361	A
USGS	09306395	1976-11-13	358	A
USGS	09306395	1976-11-14	349	A
USGS	09306395	1976-11-15	388	A
USGS	09306395	1976-11-16	391	A
USGS	09306395	1976-11-17	374	A
USGS	09306395	1976-11-18	372	A
USGS	09306395	1976-11-19	368	A
USGS	09306395	1976-11-20	372	A
USGS	09306395	1976-11-21	368	A
USGS	09306395	1976-11-22	355	A
USGS	09306395	1976-11-23	343	A
USGS	09306395	1976-11-24	360	A
USGS	09306395	1976-11-25	370	A
USGS	09306395	1976-11-26	376	A
USGS	09306395	1976-11-27	335	A
USGS	09306395	1976-11-28	170	A
USGS	09306395	1976-11-29	220	A
USGS	09306395	1976-11-30	230	A
USGS	09306395	1976-12-01	230	A
USGS	09306395	1976-12-02	280	A
USGS	09306395	1976-12-03	290	A
USGS	09306395	1976-12-04	320	A
USGS	09306395	1976-12-05	350	A
USGS	09306395	1976-12-06	360	A
USGS	09306395	1976-12-07	370	A
USGS	09306395	1976-12-08	375	A
USGS	09306395	1976-12-09	375	A
USGS	09306395	1976-12-10	370	A
USGS	09306395	1976-12-11	355	A
USGS	09306395	1976-12-12	340	A
USGS	09306395	1976-12-13	325	A
USGS	09306395	1976-12-14	310	A
USGS	09306395	1976-12-15	300	A
USGS	09306395	1976-12-16	310	A
USGS	09306395	1976-12-17	310	A
USGS	09306395	1976-12-18	290	A
USGS	09306395	1976-12-19	280	A
USGS	09306395	1976-12-20	260	A
USGS	09306395	1976-12-21	250	A
USGS	09306395	1976-12-22	250	A
USGS	09306395	1976-12-23	260	A
USGS	09306395	1976-12-24	260	A
USGS	09306395	1976-12-25	260	A
USGS	09306395	1976-12-26	270	A
USGS	09306395	1976-12-27	275	A
USGS	09306395	1976-12-28	270	A
USGS	09306395	1976-12-29	250	A
USGS	09306395	1976-12-30	265	A
USGS	09306395	1976-12-31	270	A
USGS	09306395	1977-01-01	290	A
USGS	09306395	1977-01-02	345	A
USGS	09306395	1977-01-03	360	A
USGS	09306395	1977-01-04	360	A
USGS	09306395	1977-01-05	350	A
USGS	09306395	1977-01-06	350	A
USGS	09306395	1977-01-07	305	A
USGS	09306395	1977-01-08	300	A
USGS	09306395	1977-01-09	230	A
USGS	09306395	1977-01-10	220	A
USGS	09306395	1977-01-11	230	A
USGS	09306395	1977-01-12	280	A
USGS	09306395	1977-01-13	300	A
USGS	09306395	1977-01-14	300	A
USGS	09306395	1977-01-15	330	A
USGS	09306395	1977-01-16	360	A
USGS	09306395	1977-01-17	365	A
USGS	09306395	1977-01-18	365	A
USGS	09306395	1977-01-19	365	A
USGS	09306395	1977-01-20	360	A
USGS	09306395	1977-01-21	350	A
USGS	09306395	1977-01-22	350	A
USGS	09306395	1977-01-23	350	A
USGS	09306395	1977-01-24	350	A
USGS	09306395	1977-01-25	350	A
USGS	09306395	1977-01-26	340	A
USGS	09306395	1977-01-27	340	A
USGS	09306395	1977-01-28	340	A
USGS	09306395	1977-01-29	340	A
USGS	09306395	1977-01-30	340	A
USGS	09306395	1977-01-31	325	A
USGS	09306395	1977-02-01	270	A
USGS	09306395	1977-02-02	300	A
USGS	09306395	1977-02-03	330	A
USGS	09306395	1977-02-04	340	A
USGS	09306395	1977-02-05	340	A
USGS	09306395	1977-02-06	340	A
USGS	09306395	1977-02-07	340	A
USGS	09306395	1977-02-08	350	A
USGS	09306395	1977-02-09	350	A
USGS	09306395	1977-02-10	350	A
USGS	09306395	1977-02-11	350	A
USGS	09306395	1977-02-12	355	A
USGS	09306395	1977-02-13	360	A
USGS	09306395	1977-02-14	360	A
USGS	09306395	1977-02-15	360	A
USGS	09306395	1977-02-16	360	A
USGS	09306395	1977-02-17	360	A
USGS	09306395	1977-02-18	370	A
USGS	09306395	1977-02-19	370	A
USGS	09306395	1977-02-20	375	A
USGS	09306395	1977-02-21	380	A
USGS	09306395	1977-02-22	380	A
USGS	09306395	1977-02-23	380	A
USGS	09306395	1977-02-24	380	A
USGS	09306395	1977-02-25	380	A
USGS	09306395	1977-02-26	370	A
USGS	09306395	1977-02-27	370	A
USGS	09306395	1977-02-28	375	A
USGS	09306395	1977-03-01	380	A
USGS	09306395	1977-03-02	380	A
USGS	09306395	1977-03-03	380	A
USGS	09306395	1977-03-04	375	A
USGS	09306395	1977-03-05	370	A
USGS	09306395	1977-03-06	385	A
USGS	09306395	1977-03-07	400	A
USGS	09306395	1977-03-08	410	A
USGS	09306395	1977-03-09	440	A
USGS	09306395	1977-03-10	430	A
USGS	09306395	1977-03-11	425	A
USGS	09306395	1977-03-12	415	A
USGS	09306395	1977-03-13	390	A
USGS	09306395	1977-03-14	395	A
USGS	09306395	1977-03-15	410	A
USGS	09306395	1977-03-16	430	A
USGS	09306395	1977-03-17	405	A
USGS	09306395	1977-03-18	440	A
USGS	09306395	1977-03-19	420	A
USGS	09306395	1977-03-20	410	A
USGS	09306395	1977-03-21	415	A
USGS	09306395	1977-03-22	440	A
USGS	09306395	1977-03-23	460	A
USGS	09306395	1977-03-24	482	A
USGS	09306395	1977-03-25	495	A
USGS	09306395	1977-03-26	476	A
USGS	09306395	1977-03-27	423	A
USGS	09306395	1977-03-28	404	A
USGS	09306395	1977-03-29	395	A
USGS	09306395	1977-03-30	373	A
USGS	09306395	1977-03-31	347	A
USGS	09306395	1977-04-01	360	A
USGS	09306395	1977-04-02	363	A
USGS	09306395	1977-04-03	365	A
USGS	09306395	1977-04-04	347	A
USGS	09306395	1977-04-05	351	A
USGS	09306395	1977-04-06	360	A
USGS	09306395	1977-04-07	357	A
USGS	09306395	1977-04-08	378	A
USGS	09306395	1977-04-09	398	A
USGS	09306395	1977-04-10	422	A
USGS	09306395	1977-04-11	444	A
USGS	09306395	1977-04-12	479	A
USGS	09306395	1977-04-13	471	A
USGS	09306395	1977-04-14	442	A
USGS	09306395	1977-04-15	395	A
USGS	09306395	1977-04-16	396	A
USGS	09306395	1977-04-17	398	A
USGS	09306395	1977-04-18	401	A
USGS	09306395	1977-04-19	448	A
USGS	09306395	1977-04-20	492	A
USGS	09306395	1977-04-21	468	A
USGS	09306395	1977-04-22	417	A
USGS	09306395	1977-04-23	417	A
USGS	09306395	1977-04-24	466	A
USGS	09306395	1977-04-25	507	A
USGS	09306395	1977-04-26	554	A
USGS	09306395	1977-04-27	554	A
USGS	09306395	1977-04-28	554	A
USGS	09306395	1977-04-29	588	A
